No,施設区分,配置施設名,所管課,所在地,lat,lng,電話番号,AED利用可能時間,時間外利用方法,,施設数,配置台数,施設内の設置場所,,,,,,,
132,,市立井川小学校,教育施設課,葵区井川７０８－１,35.223464,138.23909,260-2004,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館入口,,,,,,,
133,,市立井宮小学校,教育施設課,葵区平和一丁目７－１,34.988444,138.366769,271-5288,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,2,１階職員室前廊下,,,,,,,
134,,市立井宮小学校,教育施設課,葵区平和一丁目７－１,34.988444,138.366769,271-5288,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,,,体育館入口,,,,,,,
135,,市立井宮北小学校,教育施設課,葵区上伝馬２－１,35.00465,138.368699,272-1326,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階職員室前廊下,,,,,,,
136,,市立梅ケ島小学校,教育施設課,葵区梅ケ島１３０９－１,35.243925,138.339792,269-2009,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階職員室前廊下,,,,,,,
137,,市立大川小学校,教育施設課,葵区日向８５３,35.091968,138.242054,291-2004,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
138,,市立大河内小学校,教育施設課,葵区平野１８５０－３,35.148559,138.36133,293-2303,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階保健室前廊下,,,,,,,
139,,市立北沼上小学校,教育施設課,葵区北沼上１０２０,35.04746,138.42391,266-2021,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
140,,市立清沢小学校,教育施設課,葵区相俣９９－１,35.033241,138.245701,295-3010,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階保健室前廊下,,,,,,,
141,,市立駒形小学校,教育施設課,葵区南安倍二丁目１－１,34.961578,138.373105,252-3340,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階西昇降口,,,,,,,
142,,市立賤機北小学校,教育施設課,葵区俵沢２３４－１,35.108179,138.367314,294-0004,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館入口,,,,,,,
143,,市立賤機中小学校,教育施設課,葵区牛妻２０９５－２,35.064904,138.369815,294-0003,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階保健室前廊下,,,,,,,
144,,市立賤機南小学校,教育施設課,葵区松富三丁目１－４６,35.014482,138.374721,271-2335,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
145,,市立城北小学校,教育施設課,葵区北安東四丁目２７－３,35.002784,138.387933,246-4111,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
146,,市立新通小学校,教育施設課,葵区駒形通二丁目４－４７,34.97019,138.37711,252-1301,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館入口,,,,,,,
147,,市立玉川小学校,教育施設課,葵区落合１０３－３,35.110433,138.333703,292-2012,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,児童昇降口,,,,,,,
148,,市立田町小学校,教育施設課,葵区田町五丁目７０,34.967316,138.366806,255-3428,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
149,,市立千代田小学校,教育施設課,葵区沓谷五丁目４７－１,34.996152,138.40686,261-2685,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
150,,市立千代田東小学校,教育施設課,葵区川合三丁目４－１,35.005815,138.413867,262-1842,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階職員室前廊下,,,,,,,
151,,市立伝馬町小学校,教育施設課,葵区伝馬町１４－２,34.975362,138.391289,254-9185,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
152,,市立中藁科小学校,教育施設課,葵区大原９４２－１,35.00975,138.276204,279-0130,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階職員室前廊下,,,,,,,
153,,市立中藁科小学校小布杉分校,教育施設課,葵区小布杉１７５６－１,34.998423,138.243544,270-1301,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
154,,市立西奈小学校,教育施設課,葵区瀬名三丁目２３－１,35.023118,138.422005,261-3041,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階職員室前廊下,,,,,,,
155,,市立西奈南小学校,教育施設課,葵区南瀬名町１－２０,35.002232,138.422622,263-5544,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
156,,市立服織小学校,教育施設課,葵区羽鳥六丁目９－１,34.985655,138.336628,278-6322,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
157,,市立服織西小学校,教育施設課,葵区新間７５９－１－１,34.994361,138.307442,278-9793,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階廊下,,,,,,,
158,,市立番町小学校,教育施設課,葵区新富町一丁目２３－１,34.975282,138.368947,253-2148,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館入口,,,,,,,
159,,市立松野小学校,教育施設課,葵区松野５９８－２,35.076427,138.367353,294-0002,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
160,,市立水見色小学校,教育施設課,葵区水見色１０４０－３,35.038342,138.294487,279-0123,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
161,,市立南藁科小学校,教育施設課,葵区吉津４００,34.979435,138.315311,278-9734,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
162,,市立峰山小学校,教育施設課,葵区黒俣２７４１－１６,35.068763,138.206743,295-3131,月曜～金曜8:00～16:30（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
163,,市立美和小学校,教育施設課,葵区遠藤新田６９－１,35.030058,138.368421,296-0700,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
164,,市立横内小学校,教育施設課,葵区緑町１－１,34.986094,138.392892,245-4695,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,2,１階職員室前廊下,,,,,,,
165,,市立横内小学校,教育施設課,葵区緑町１－１,34.986094,138.392892,245-4695,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,,,体育館入口,,,,,,,
166,,市立竜南小学校,教育施設課,葵区竜南一丁目２３－１,34.999059,138.396316,246-3061,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
167,中学校,市立安倍川中学校,教育施設課,葵区弥勒二丁目１１－１,34.963258,138.368433,252-6148,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,２階事務室前廊下,,,,,,,
168,,市立安東中学校,教育施設課,葵区安東三丁目１３－１,34.993027,138.384295,246-6418,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
169,,市立井川中学校,教育施設課,葵区井川１５６１－３,35.219245,138.235432,260-2200,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階体育館寄りトイレ前,,,,,,,
170,,市立梅ケ島中学校,教育施設課,葵区梅ケ島１３０９－１,35.243925,138.339792,269-2148,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館,,,,,,,
171,,市立大川中学校,教育施設課,葵区日向８７６,35.092379,138.24091,291-2031,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館入口の階段下,,,,,,,
172,,市立大河内中学校,教育施設課,葵区平野１８５０－６６,35.149384,138.36168,293-2004,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館,,,,,,,
173,,市立籠上中学校,教育施設課,葵区平和二丁目２－１,34.991899,138.366649,271-6105,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,南校舎１階玄関ホール,,,,,,,
174,,市立観山中学校,教育施設課,葵区観山８－２,35.01331,138.393597,247-4812,月曜～金曜8:10～16:40（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階職員室前廊下,,,,,,,
175,,市立賤機中学校,教育施設課,葵区下１３５３－１,35.031358,138.377062,294-9503,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
176,,市立城内中学校,教育施設課,葵区駿府町１－１０７,34.977042,138.385679,254-5486,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階保健室前廊下,,,,,,,
177,,市立末広中学校,教育施設課,葵区末広町４１,34.982917,138.372183,271-8171,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
178,,市立玉川中学校,教育施設課,葵区落合８４０,35.116357,138.326884,292-2014,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,玄関ロビー,,,,,,,
179,,市立西奈中学校,教育施設課,葵区東瀬名町１４－１,35.011356,138.427519,261-3040,月曜～金曜8:10～16:40（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階職員室前廊下,,,,,,,
180,,市立服織中学校,教育施設課,葵区羽鳥一丁目８－１,34.980972,138.344408,278-9731,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階保健室前廊下,,,,,,,
181,,市立東中学校,教育施設課,葵区沓谷一丁目６－１,34.985889,138.39718,245-3695,月曜～金曜8:10～16:40（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
182,,市立美和中学校,教育施設課,葵区足久保口組３２７６－２,35.043793,138.368002,296-0009,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,体育館,,,,,,,
183,,市立竜爪中学校,教育施設課,葵区瀬名七丁目３１－４０,35.030395,138.423708,264-1100,月曜～金曜8:15～16:45（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
184,,市立藁科中学校,教育施設課,葵区大原１３９８－１,35.009164,138.28185,279-0120,月曜～金曜8:05～16:35（ただし、国民の祝日、年末年始、行事等の振替休日は不可）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
185,高校,市立高等学校,市立高等学校,葵区千代田三丁目１番１号,34.993241,138.398824,245-0417,8:15～17:00（平日）※上記時間・曜日以外でも施設利用時であれば利用可能。（利用施設により使用できるＡＥＤに制限有）,時間外利用不可,,1,4,①２階廊下,,,,,,,
186,,,,,34.993241,138.398824,,8:15～17:00（平日）※上記時間・曜日以外でも施設利用時であれば利用可能。（利用施設により使用できるＡＥＤに制限有）,時間外利用不可,,,,②体育教官室入口（屋外）,,,,,,,
187,,,,,34.993241,138.398824,,8:15～17:00（平日）※上記時間・曜日以外でも施設利用時であれば利用可能。（利用施設により使用できるＡＥＤに制限有）,時間外利用不可,,,,③体育館１階（屋外）,,,,,,,
188,,,,,34.993241,138.398824,,8:15～17:00（平日）※上記時間・曜日以外でも施設利用時であれば利用可能。（利用施設により使用できるＡＥＤに制限有）,時間外利用不可,,,,④２階廊下,,,,,,,
189,青少年教育施設,井川少年自然の家,教育総務課,葵区井川３０５５番地の１,35.206494,138.255411,260-2761,休所日（月曜日、月曜日が祝日の場合はその翌日、12月28日～1月4日、変更する場合あり）以外の職員勤務時間（8：30～17：15、宿泊利用のあるときはこの限りでない）,時間外利用不可,,1,1,正面入口右側,,,,,,,
190,水道施設,上下水道局庁舎（平成27年12月15日～(予定)）,水道総務課,葵区七間町１５番地の１,34.972535,138.379641,,24時間,警備員室・守衛室へ声をお掛けください。,,-,-,３Fフロア　１Fフロア,,,,,,,
191,下水処理場,城北浄化センター,下水道施設課,葵区加藤島１番地の１,35.006423,138.402724,261-2981,月～金（祝日、12/29～1/3を除く）　8:30～17:15,要電話,,1,1,管理棟２階玄関ホール（中央操作室側）,,,,,,,
192,その他,愛宕霊園,戸籍管理課,葵区沓谷１３３３番地の１,34.993474,138.410259,261-2555,年末年始（12月29日から翌年１月３日）以外の９時から16時まで,時間外利用不可,,1,1,管理事務所内,,,,,,,
193,,静岡授産福祉センター（田町本所）,商業労政課,葵区田町四丁目１６番地,34.970735,138.368383,254-6205,8:00～17:00（土・日曜日、祝日、12/29～1/4を除く）,時間外利用不可,,1,1,１階受付事務室,,,,,,,
194,,静岡斎場,戸籍管理課,葵区慈悲尾４７２番地の１,34.994823,138.35213,276-2000,１月１日及び毎年市長が指定する休場日（友引日）以外の９時から17時まで,時間外利用不可,,1,1,待合棟１階廊下壁面,,,,,,,
195,,追手町自転車等駐車場,交通政策課,葵区追手町８番７号,34.97639,138.38071,272-5757,5：30～23：30,時間外利用不可,,1,1,管理人室横,,,,,,,
196,,青葉通り自転車等駐車場,交通政策課,葵区呉服町二丁目３番１号,34.974165,138.382904,255-5990,5：30～23：30,時間外利用不可,,1,1,管理人室前,,,,,,,
197,,黒金町西第１駐輪場,交通政策課,葵区黒金町３８番１号,34.970935,138.386354,272-5587,5：30～23：30,時間外利用不可,,1,1,管理人室内,,,,,,,
198,,東静岡駅北口自転車等駐車場,交通政策課,葵区長沼７４４番１０号,34.993222,138.416217,264-6366,４：30～24：30,時間外利用不可,,1,1,管理人室内,,,,,,,
199,,静岡ヘリポート,交通政策課,葵区諏訪８番１０号,35.023124,138.408729,265-5500,7：00～19：00（日没が19：00前の時は日没まで）,時間外利用不可,,1,1,管理事務所入口横,,,,,,,
200,,東静岡駅南口自転車等駐車場,交通政策課,葵区長沼７４４番１０号（北口）,34.993222,138.416217,264-6366,４：30～24：30,時間外利用不可,,1,1,施設内中央,,,,,,,
201,,中央卸売市場,中央卸売市場,葵区流通センター１番１号,35.012608,138.405596,263-3415,24時間365日,警備員室・守衛室へ声をお掛けください。,,1,1,北門守衛室,,,,,,,
202,,西ケ谷資源循環体験プラザ,ごみ減量推進課,葵区西ケ谷５５３番地の２,35.015379,138.349915,294-7451,9:00～16:00（月曜日・火曜日・年末年始を除く）,時間外利用不可,,1,1,体験プラザ１階事務所受付横,,,,,,,
203,,西ケ谷清掃工場,廃棄物処理課,葵区西ケ谷５５３番地,35.015379,138.349915,296-0054,8：30～17：15（月～金）8：30～12：15（土）,時間外利用不可,,1,2,管理棟１階ホール事務室前,,,,,,,
204,,,,,35.015379,138.349915,,8：30～17：15（月～金）8：30～12：15（土）,時間外利用不可,,,,,,,,,,,
205,,沼上資源循環学習プラザ,ごみ減量推進課,葵区南沼上１２１７番地の１,35.023982,138.410824,207-8971,9:00～16:00（日曜日・年末年始を除く）,時間外利用不可,,1,1,学習プラザ１階事務所受付横,,,,,,,
206,,沼上清掃工場,廃棄物処理課,葵区南沼上１２２４番地,35.023054,138.411542,262-4015,8：30～17：15（月～金）8：30～12：15（土）,時間外利用不可,,1,2,管理棟１階事務所受付横,,,,,,,
207,,,,,35.023054,138.411542,,8：30～17：15（月～金）8：30～12：15（土）,時間外利用不可,,,,沼上清掃工場　仮置,,,,,,,
208,,沼上霊園,戸籍管理課,葵区南沼上２０５２番地の３５２,35.02917,138.412368,262-4511,年末年始（12月29日から翌年１月３日）以外の９時から16時まで,時間外利用不可,,1,1,管理事務所内,,,,,,,
209,,東部学校給食センター,学校給食課,葵区東瀬名町１４番２号,35.012045,138.427247,262-1205,8:00～16：45月～金(祝日除く）,時間外利用不可,,1,1,玄関ホール,,,,,,,
210,市庁舎・区役所等,長田支所,駿河区役所長田支所　,駿河区上川原１３番１号,34.945907,138.365418,259-5522,8:30～17：15月～金(祝日除く）,時間外利用不可,,1,1,事務所内,,,,,,,
211,,駿河区役所,駿河区役所地域総務課,駿河区南八幡町１０番４０号,34.960745,138.40406,202-5811,8:30～17:15月～金(祝日除く),警備員室・守衛室へ声をお掛けください。,,1,2,①１階中央階段横廊下,,,,,,,
212,,,,,34.960745,138.40406,,8:30～17:15月～金(祝日除く),警備員室・守衛室へ声をお掛けください。,,,,②２階中央階段横廊下,,,,,,,
213,,駿河区役所地域総務課（イベント貸出用）,シティプロモーション課,駿河区南八幡町１０番４０号,34.960745,138.40406,202-5811,貸出受付は8:30～17:15　月～金(祝日除く)使用日直近営業日に貸出、使用後直近営業日に返却（要予約）,時間外利用不可,,―,2,＊駿河区役所地域総務課にて貸出受付,,,,,,,
214,,駿河区役所地域総務課（イベント貸出用）,観光・シティプロモーション課,,34.960745,138.40406,202-5811,貸出し専用(要予約）,警備員室・守衛室へ声をお掛けください。,,―,2,＊駿河区役所地域総務課にて貸出受付,,,,,,,
215,スポーツ施設等,有度山総合公園運動施設,スポーツ振興課,駿河区小鹿１８８３番地の４,34.973008,138.440263,264-2722,9:00～17:00（年末年始除く）※季節により変更あり,時間外利用不可,,1,1,事務室内,,,,,,,
216,,長田体育館,スポーツ振興課,駿河区鎌田５７４番地の１,34.938864,138.363315,257-3411,8:30～21:00（年末年始除く）,時間外利用不可,,1,1,１階靴箱上（事務所入口）,,,,,,,
217,,中島人工芝多目的スポーツグラウンド,スポーツ振興課,駿河区中島１７１１番地の１,34.933617,138.397862,221-1071,6:30～18：30（年末年始除く）※季節により変更あり,時間外利用不可,,1,1,更衣室内,,,,,,,
218,,南部体育館,スポーツ振興課,駿河区曲金三丁目１番３０号,34.97291,138.405395,285-1133,8:30～21:00（年末年始除く）,時間外利用不可,,1,1,１階中央ホール,,,,,,,
219,,用宗海水浴場（海水浴場開設期間のみ）,観光交流課,駿河区用宗,34.921871,138.359313,221-1421,8:30～17:00開設期間のみ,時間外利用不可,,1,1,管理事務所内（開設期間のみ）,,,,,,,
220,生涯学習施設,大里生涯学習センター,生涯学習推進課,駿河区中野新田５７番地の５,34.952193,138.38518,283-1698,8:30～21:45 月曜日・祝日以外の曜日（市民サービスコーナーとの複合館であるため、月曜日においては8:30～17:15の間利用可能）,時間外利用不可,,1,1,１階玄関ホール事務室横,,,,,,,
221,,長田生涯学習センター,生涯学習推進課,駿河区寺田１３１番地の１,34.939236,138.358627,257-0780,8:30～21:45月曜日・祝日以外の曜日,時間外利用不可,,1,1,１階玄関ホール受付カウンター横,,,,,,,
222,,駿河生涯学習センター（来・て・こ）,生涯学習推進課,駿河区小鹿二丁目２５番４５号,34.97278,138.421085,202-4300,休館日以外の8:30～21：45　　休館日：日曜、年末年始（12/28 ～1/5）　,時間外利用不可,,1,1,１階玄関学習センター受付カウンター事務室入り口左側部,,,,,,,
223,,南部生涯学習センター,生涯学習推進課,駿河区南八幡町２５番２１号,34.961597,138.404976,281-2184,8:30～21:45 月曜日・祝日以外の曜日（地域福祉推進センターが併設しているため、月曜日においては8:30～17:00の間利用可能）,時間外利用不可,,1,1,１階玄関ホール事務室横,,,,,,,
224,図書館,長田図書館,中央図書館,駿河区上川原１３番１号,34.945907,138.365418,259-7878,火～金曜日は9:30～19:00、土・日曜日は9:30～17:00。ただし、毎週月曜日・国民の祝日・第４水曜日（祝日の場合は翌日）、所蔵点検期間中、年末年始は休館日で利用不可。,時間外利用不可,,1,1,受付カウンター横,,,,,,,
225,,南部図書館,中央図書館,駿河区南八幡町３番１号,34.962908,138.401358,288-2151,月～金曜日は9:30～19:00、土・日曜日国民の祝日は9:30～17:00。ただし、毎月第２月曜日・第４水曜日（祝日の場合は翌日）、祝日の次の平日、所蔵点検期間中、年末年始は休館日で利用不可。,時間外利用不可,,1,1,２階エレベーター付近,,,,,,,
226,文化施設等,旧エンバーソン住宅,歴史文化課,駿河区池田２８６４番５２号,34.978638,138.442217,-,土曜・日曜・祝日（12月26日から1月5日を除く）9:00～16:30,時間外利用不可,,1,1,玄関,,,,,,,
227,,旧マッケンジー住宅,歴史文化課,駿河区高松２８５２番地,34.945632,138.419435,237-0573,休館日（月曜日（祝日以外）、祝日の翌日（土・日以外）、年末年始（12月26日～1月5日））を除く日　9:00～16:30,時間外利用不可,,1,1,玄関,,,,,,,
228,,静岡科学館,文化振興課,駿河区南町１４番２５号エスパティオ８～１０階,34.970707,138.390376,284-6960,9：30～17：00休館日以外 （休館日：毎週月曜日（休日の場合はその翌日）、年末年始、臨時休館日）,時間外利用不可,,1,1,８階特別避難階段入口横,,,,,,,
229,,芹沢銈介美術館,文化振興課,駿河区登呂五丁目10番５号,34.955098,138.408224,282-5522,8:30～17：15休館日以外（休館日：月曜日、祝日の翌日、展示替え期間中、年末年始）,時間外利用不可,,1,1,１階事務室内,,,,,,,
230,,治水交流資料館,河川課,駿河区大谷二丁目２４番１１号,34.948363,138.426151,237-1322,8：30～17：15　火～日（月が祝日の場合は翌日以降の最初の平日が休館・年末年始12/27～1/4）,時間外利用不可,,1,1,館内出入口付近,,,,,,,
231,,登呂博物館,歴史文化課,駿河区登呂五丁目１０番５号,34.955098,138.408535,285-0476,火～日曜日 8:30～17：15休館日：月曜日、祝日の翌日、年末年始、臨時休館日,時間外利用不可,,1,1,１階西側入口左側,,,,,,,
232,福祉施設等,長田児童館,子ども未来課,駿河区上川原１３－１,34.945907,138.365736,259-4800,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,遊戯室入口,,,,,,,
233,,豊田児童館,子ども未来課,駿河区小鹿二丁目２６－１,34.974352,138.420877,281-4718,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,玄関ホール,,,,,,,
234,,中島児童館,子ども未来課,駿河区中島２９９２,34.941366,138.399292,289-5316,9：00～17：30（月曜日（祝日を除く）、祝日の翌日、毎月第３日曜日、年末年始は除く）,時間外利用不可,,1,1,玄関ホール,,,,,,,
235,,用宗老人福祉センター,高齢者福祉課,駿河区用宗五丁目２１番１０号,34.919024,138.362776,257-2022,火～日（休館日除く）9：00～16：00,時間外利用不可,,1,1,１階ロビー公衆電話横,,,,,,,
236,こども園,小黒こども園,こども園課,駿河区小黒一丁目７番６号,34.975032,138.40122,285-3718,7:30～18:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
237,,下川原こども園,こども園課,駿河区下川原六丁目８番26号,34.933584,138.37395,258-5958,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関左側壁,,,,,,,
238,,駿河待機児童園,こども園課,駿河区登呂三丁目２番２９号,34.958831,138.405604,289-8022,7:00～19:00(月～土）,時間外利用不可,,1,1,玄関,,,,,,,
239,,高松こども園,こども園課,駿河区敷地二丁目７番１４号,34.949318,138.412752,237-6740,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
240,,登呂こども園,こども園課,駿河区登呂三丁目１９番１号,34.958453,138.407637,285-8592,7:00～19:00(月～土）,時間外利用不可,,1,1,１階園庭側出入り口（職員靴箱の上）,,,,,,,
241,,中田こども園,こども園課,駿河区馬渕四丁目２番２９号,34.962561,138.392477,282-7905,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
242,,中村町こども園,こども園課,駿河区中村町９４番地,34.953867,138.392345,281-9832,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
243,,東新田こども園,こども園課,駿河区東新田四丁目１番４０号,34.944791,138.376063,257-0256,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関事務所前,,,,,,,
244,,東豊田中央こども園,こども園課,駿河区国吉田六丁目７番２９号,34.990339,138.436837,261-6320,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関ロビー,,,,,,,
245,,広野こども園,こども園課,駿河区広野六丁目１１番１号,34.929009,138.373984,259-5195,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関左壁,,,,,,,
246,,富士見台こども園,こども園課,駿河区富士見台二丁目１１番４４号,34.963134,138.418315,282-6188,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
247,,丸子こども園,こども園課,駿河区丸子二丁目１８番３２号,34.942872,138.355927,259-9810,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
248,,用宗こども園,こども園課,駿河区用宗五丁目１８番７号,34.918335,138.361606,259-2702,7:30～18:00(月～土）,時間外利用不可,,1,1,１階玄関正面階段右側壁,,,,,,,
249,,八幡こども園,こども園課,駿河区八幡二丁目１５番２０号,34.97161,138.397706,285-4049,7:00～19:00(月～土）,時間外利用不可,,1,1,１階玄関,,,,,,,
250,,大谷こども園,こども園課,駿河区西大谷６番地の８,34.954098,138.427146,237-2476,7：00～18：00（月～金）,時間外利用不可,,1,1,１階玄関,,,,,,,
251,,久能こども園,こども園課,駿河区青沢２４０番地,34.955598,138.451465,237-1713,7：00～18：00（月～金）,時間外利用不可,,1,1,１階玄関,,,,,,,
252,,東豊田こども園,こども園課,駿河区池田４９２－２番地の２,34.984043,138.424389,262-0096,7：00～18：00（月～金）,時間外利用不可,,1,1,職員室,,,,,,,
254,観光施設等,駿府匠宿,産業振興課,駿河区丸子３２４０番地の１,34.953467,138.33301,256-1521,9:00～17:00※7月20日～8月31日までは9:00～18:00（12月30日～1月1日は除く）,時間外利用不可,,1,1,匠宿内施設「駿府工芸館」内、入口右側壁,,,,,,,
255,,日本平動物園,日本平動物園,駿河区池田１７６７番地の６,34.980404,138.43803,262-3251,9:00～16:30※休園日を除く,時間外利用不可,,1,2,エントランス事務所内カウンター左側,,,,,,,
256,,,,,34.980404,138.43803,,9:00～16:30※休園日を除く,時間外利用不可,,,,東門入園ゲート,,,,,,,
