No,施設区分,配置施設名,所管課,所在地,lat,lng,電話番号,AED利用可能時間,時間外利用方法,,施設数,配置台数,施設内の設置場所,,,,,,,
31,,玉川生涯学習交流館,生涯学習推進課,葵区落合１２６番地の１,35.110524,138.331295,292-2111,8:30～17:15月～金（祝日を除く）,時間外利用不可,,1,1,１階玄関横,,,,,,,
32,,東部生涯学習センター,生涯学習推進課,葵区千代田七丁目８番１５号,35.001454,138.405946,263-0338,8:30～21:45月曜日・祝日以外の曜日（保健福祉センター・市民サービスコーナーとの複合館であるため、月曜日においては8:30～17:15の間利用可能）,時間外利用不可,,1,1,１階玄関市民サービスコーナー受付中央部,,,,,,,
33,,西奈生涯学習センター,生涯学習推進課,葵区瀬名二丁目３２番４３号,35.017608,138.422916,265-2468,8:30～21:45月曜日・祝日以外の曜日（図書館・市民サービスコーナーとの複合館であるため、月曜日においては8:30～17:15の間利用可能）,時間外利用不可,,1,1,１階玄関ホール事務室横,,,,,,,
34,,北部生涯学習センター,生涯学習推進課,葵区昭府二丁目１４番１号,35.001981,138.369507,271-5111,8:30～21:45月曜日・祝日以外の曜日（保健福祉センター・市民サービスコーナーとの複合館であるため、月曜日においては8:30～17:15の間利用可能）,時間外利用不可,,1,1,１階玄関ホール正面,,,,,,,
35,,藁科生涯学習センター,生涯学習推進課,葵区羽鳥本町５番９号,34.983724,138.328857,278-4141,8:30～21:45月曜日・祝日以外の曜日,時間外利用不可,,1,1,１階玄関ホール事務室横,,,,,,,
36,図書館,中央図書館,中央図書館,葵区大岩本町２９番１号,34.988277,138.37804,247-6711,月～金曜日は9:30～19:00、土・日曜日国民の祝日は9:30～17:00。ただし、毎月第２月曜日・第４水曜日（祝日の場合は翌日）、祝日の次の平日、所蔵点検期間中、年末年始は休館日で利用不可。,時間外利用不可,,1,1,１階返却カウンター,,,,,,,
37,,中央図書館麻機分館,中央図書館,葵区有永４２１番地の１,35.025695,138.389494,248-5035,曜日：毎日（年末年始は除く）。　時間帯：月曜日は8:30～17:00（国民の祝日を除く）、火～金曜日は8:30～17:00及び地域・学校連携施設の利用有の場合18:00～21:00利用可、土・日・祝日は9:00～17:00及び地域・学校連携施設の利用有の場合18:00～21:00利用可,時間外利用不可,,1,1,１階ホール(共有ｽﾍﾟｰｽ),,,,,,,
38,,中央図書館美和分館,中央図書館,葵区安倍口団地５番１号,35.022323,138.364416,296-6501,曜日：毎日（国民の祝日・年末年始を除く）。時間帯：月曜日8:30～17:00、火～日曜日8:30～21:30,時間外利用不可,,1,1,１階ホール湯沸し室横(共有ｽﾍﾟｰｽ),,,,,,,
39,,北部図書館,中央図書館,葵区与一六丁目１７番１０号,35.008291,138.366971,653-1817,曜日：毎日（国民の祝日・年末年始を除く）　時間帯：月曜日及び第４水曜日8:30～17:00、火～金曜日8:30～19:00、土・日曜日9:30～17:00,時間外利用不可,,1,1,１階和室入口横(共有ｽﾍﾟｰｽ),,,,,,,
40,,御幸町図書館,中央図書館,葵区御幸町３番地の２１（ペガサート４・５階）,34.975043,138.386132,251-1868,月～金曜日は9:30～20:00、土・日曜日国民の祝日は9:30～17:00。ただし、毎月第２月曜日・第４水曜日（祝日の場合は翌日）、祝日の次の平日、所蔵点検期間中、年末年始は休館日で利用不可。,時間外利用不可,,1,1,ボランティア活動室内,,,,,,,
